"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2018-12-04 16:09:09 +01:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2013,"Czech Rep.","Syrian Arab Rep.","G / RA",2
2013,Germany,"Syrian Arab Rep.","G / NA",11851
2013,Germany,"Syrian Arab Rep.","G / RA",1012
2013,Germany,"Syrian Arab Rep.","G / JR",
2013,Denmark,"Syrian Arab Rep.","G / AR",125
2013,Denmark,"Syrian Arab Rep.","G / FI",1710
2013,Spain,"Syrian Arab Rep.","G / FI",725
2013,Estonia,"Syrian Arab Rep.","G / FI",17
2013,Finland,"Syrian Arab Rep.","G / FI",148
2013,Finland,"Syrian Arab Rep.","G / RA",1
2013,France,"Syrian Arab Rep.","G / AR",80
2013,France,"Syrian Arab Rep.","G / RA",11
2013,France,"Syrian Arab Rep.","G / FI",1303
2013,"United Kingdom","Syrian Arab Rep.","G / FI",2020
2013,"United Kingdom","Syrian Arab Rep.","G / RA",8
2013,"United Kingdom","Syrian Arab Rep.","G / AR",104
2013,Greece,"Syrian Arab Rep.","G / AR",41
2013,Greece,"Syrian Arab Rep.","G / FI",482
2013,Croatia,"Syrian Arab Rep.","G / FI",194
2013,Croatia,"Syrian Arab Rep.","G / JR",2
2013,Hungary,"Syrian Arab Rep.","G / RA",43
2013,Hungary,"Syrian Arab Rep.","G / FI",934
2013,Ireland,"Syrian Arab Rep.","G / AR",5
2013,Ireland,"Syrian Arab Rep.","G / FI",38
2013,Ireland,"Syrian Arab Rep.","G / SP",2
2013,Iceland,"Syrian Arab Rep.","G / AR",1
2013,Iceland,"Syrian Arab Rep.","G / FI",7
2013,Italy,"Syrian Arab Rep.","G / RA",1
2013,Italy,"Syrian Arab Rep.","G / FI",634
2013,Liechtenstein,"Syrian Arab Rep.","G / FI",2
2013,Lithuania,"Syrian Arab Rep.","G / FI",11
2013,Luxembourg,"Syrian Arab Rep.","G / FI",24
2013,Latvia,"Syrian Arab Rep.","G / FI",15
2013,"The former Yugoslav Republic of Macedonia","Syrian Arab Rep.","G / FA",370
2013,Malta,"Syrian Arab Rep.","G / FI",247
2013,Malta,"Syrian Arab Rep.","G / AR",
2013,Montenegro,"Syrian Arab Rep.","G / FA",285
2013,Netherlands,"Syrian Arab Rep.","G / FI",2673
2013,Netherlands,"Syrian Arab Rep.","G / RA",33
2013,Netherlands,"Syrian Arab Rep.","G / JR",
2013,Norway,"Syrian Arab Rep.","G / FI",841
2013,Norway,"Syrian Arab Rep.","G / RA",15
2013,Norway,"Syrian Arab Rep.","G / AR",125
2013,Poland,"Syrian Arab Rep.","G / FI",248
2013,Poland,"Syrian Arab Rep.","G / AR",
2013,Portugal,"Syrian Arab Rep.","G / FI",146
2013,Romania,"Syrian Arab Rep.","G / FI",1014
2013,Romania,"Syrian Arab Rep.","G / RA",41
2013,"Russian Federation","Syrian Arab Rep.","G / FI",1073
2013,"Russian Federation","Syrian Arab Rep.","G / TA",1776
2013,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",1338
2013,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",24
2013,Slovakia,"Syrian Arab Rep.","G / FI",13
2013,Slovakia,"Syrian Arab Rep.","G / RA",5
2013,Slovenia,"Syrian Arab Rep.","G / FI",56
2013,Sweden,"Syrian Arab Rep.","G / FI",16317
2013,Sweden,"Syrian Arab Rep.","G / AR",1912
2013,Ukraine,"Syrian Arab Rep.","G / FI",367
2013,Ukraine,"Syrian Arab Rep.","G / AR",101
2013,Ukraine,"Syrian Arab Rep.","U / FA",3
2014,Malta,"Syrian Arab Rep.","G / AR",22
2014,Montenegro,"Syrian Arab Rep.","G / FA",1649
2014,Netherlands,"Syrian Arab Rep.","G / JR",
2014,Netherlands,"Syrian Arab Rep.","G / RA",41
2014,Netherlands,"Syrian Arab Rep.","G / FI",8748
2014,Norway,"Syrian Arab Rep.","G / FI",1980
2014,Norway,"Syrian Arab Rep.","G / AR",228
2014,Norway,"Syrian Arab Rep.","G / RA",19
2014,Poland,"Syrian Arab Rep.","G / RA",1
2014,Poland,"Syrian Arab Rep.","G / FI",100
2014,Poland,"Syrian Arab Rep.","G / AR",
2014,Portugal,"Syrian Arab Rep.","G / FI",18
2014,Romania,"Syrian Arab Rep.","G / RA",12
2014,Romania,"Syrian Arab Rep.","G / FI",614
2014,Romania,"Syrian Arab Rep.","G / JR",
2014,"Russian Federation","Syrian Arab Rep.","G / TA",1435
2014,"Russian Federation","Syrian Arab Rep.","G / FI",473
2014,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",83
2014,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.","G / FI",9701
2014,Slovakia,"Syrian Arab Rep.","G / FI",34
2014,Slovakia,"Syrian Arab Rep.","G / RA",6
2014,Slovenia,"Syrian Arab Rep.","G / FI",88
2014,Slovenia,"Syrian Arab Rep.","G / RA",3
2014,Sweden,"Syrian Arab Rep.","G / FI",30313
2014,Sweden,"Syrian Arab Rep.","G / RA",439
2014,Sweden,"Syrian Arab Rep.","G / AR",773
2014,Ukraine,"Syrian Arab Rep.","G / FI",267
2014,Ukraine,"Syrian Arab Rep.","U / FI",7
2014,Ukraine,"Syrian Arab Rep.","G / JR",35
2014,Albania,"Syrian Arab Rep.","G / FI",92
2014,Austria,"Syrian Arab Rep.","G / FA",7730
